N,lam,exec_time,succeed
10,112,0.1900,1
10,112,0.1836,1
10,112,0.1816,1
10,112,0.1818,1
10,112,0.1827,1
10,112,0.1791,1
10,112,0.1756,1
10,112,0.1763,1
10,112,0.1777,1
10,112,0.1803,1
10,112,0.1808,1
10,112,0.1818,1
10,112,0.1842,1
10,112,0.1820,1
10,112,0.1731,1
10,112,0.1789,1
10,112,0.1798,1
10,112,0.1829,1
10,112,0.1814,1
10,112,0.1779,1
10,112,0.1826,1
10,112,0.1770,1
10,112,0.1803,1
10,112,0.1769,1
10,112,0.1788,1
10,112,0.1810,1
10,112,0.1869,1
10,112,0.1827,1
10,112,0.1823,1
10,112,0.1771,1
10,112,0.1784,1
10,112,0.1844,1
10,112,0.1864,1
10,112,0.1769,1
10,112,0.1791,1
10,112,0.1819,1
10,112,0.1786,1
10,112,0.1778,1
10,112,0.1823,1
10,112,0.1752,1
10,112,0.1790,1
10,112,0.1761,1
10,112,0.1816,1
10,112,0.1795,1
10,112,0.1820,1
10,112,0.1837,1
10,112,0.1839,1
10,112,0.1772,1
10,112,0.1762,1
10,112,0.1795,1
10,112,0.1764,1
10,112,0.1780,1
10,112,0.1816,1
10,112,0.1788,1
10,112,0.1805,1
10,112,0.1764,1
10,112,0.1771,1
10,112,0.1805,1
10,112,0.1826,1
10,112,0.1723,1
10,112,0.1826,1
10,112,0.1764,1
10,112,0.1821,1
10,112,0.1824,1
10,112,0.1827,1
10,112,0.1852,1
10,112,0.1854,1
10,112,0.1809,1
10,112,0.1765,1
10,112,0.1817,1
10,112,0.1807,1
10,112,0.1808,1
10,112,0.1785,1
10,112,0.1810,1
10,112,0.1841,1
20,112,0.7997,1
20,112,0.7964,1
20,112,0.7919,1
20,112,0.7816,1
20,112,0.7846,1
20,112,0.7834,1
20,112,0.7859,1
20,112,0.7763,1
20,112,0.7995,1
20,112,0.7961,1
20,112,0.7751,1
20,112,0.7900,1
20,112,0.8006,1
20,112,0.7838,1
20,112,0.7867,1
20,112,0.7811,1
20,112,0.7919,1
20,112,0.7833,1
20,112,0.7809,1
20,112,0.7783,1
20,112,0.7725,1
20,112,0.7803,1
20,112,0.7695,1
20,112,0.7744,1
20,112,0.7787,1
20,112,0.7820,1
20,112,0.7920,1
20,112,0.8054,1
20,112,0.7830,1
20,112,0.7812,1
20,112,0.7955,1
20,112,0.7752,1
20,112,0.7875,1
20,112,0.7711,1
20,112,0.7798,1
20,112,0.7782,1
20,112,0.7873,1
